rest,category,score,count,latitude,longitude,post
죽변항 해물포차 영등포구청,해산물,4.2,11,37.5270388,126.8975875,서울 영등포구 국회대로34길 3-2
연주방 연남동,해산물,4.2,11,37.5626862,126.9253268,서울 마포구 동교로46길 7
우리바다수산 망원역,해산물,4.5,31,37.5577265,126.9089111,서울 마포구 월드컵로 102
오징어세상 삼성점,해산물,4.0,13,37.5090389,127.0571579,서울 강남구 삼성로96길 15
형제상회 노량진수산시장,해산물,4.2,31,37.5148693,126.9368431,서울 동작구 노들로 674
남해바다마차 석계역,해산물,4.4,16,37.6135526,127.0649678,서울 성북구 한천로78길 71
백일도 중곡,해산물,4.9,18,37.5635,127.0806101,서울 광진구 능동로47길 37
청송 산오징어 사당,해산물,4.4,32,37.4758114,126.977918,서울 관악구 남현1길 8
손선장 노량진수산시장,해산물,4.6,22,37.5146821,126.9385812,서울 동작구 노들로 674
전라도횟집 광장시장,해산물,4.3,9,37.57004,127.0009669,서울 종로구 창경궁로 88
고래불 강남역,해산물,5.0,25,37.4962217,127.0339708,서울 강남구 논현로79길 62
진호횟집 수유역,해산물,4.6,19,37.6412617,127.0314406,서울 강북구 도봉로98길 33
우리회포차 사당점,해산물,4.3,11,37.4783199,126.9806444,서울 동작구 사당로30길 148
해물점 용산 삼각지,해산물,4.5,5,37.5343229,126.9745534,서울 용산구 한강대로62나길 14-1
매일스시횟집 대흥역,해산물,4.9,8,37.5480316,126.9455058,서울 마포구 숭문길 34
바다회사랑 연남본점,해산물,4.3,69,37.5604083,126.921,
달가득치킨 연신내,치킨,4.7,16,37.6178109,126.9211011,서울 은평구 연서로28길 10
계열사 부암동,치킨,4.0,65,37.5928996,126.9656561,서울 종로구 백석동길 7
한남동한방통닭 본점,치킨,4.3,50,37.5327401,127.0060066,
효도치킨 강남고속버스터미널점,치킨,4.5,11,37.506395,127.0079282,서울 서초구 신반포로 194
효도치킨 광화문점,치킨,4.5,18,37.5746043,126.971066,서울 종로구 사직로8길 21-1
남원통닭 청량리,치킨,4.2,13,37.5803334,127.0424048,서울 동대문구 홍릉로1길 39
서울숲누룽지통닭구이 서울숲,치킨,4.2,46,37.5469605,127.0443846,서울 성동구 왕십리로5길 10
르프리크 성수,치킨,4.4,69,37.5444391,127.0526591,서울 성동구 연무장5길 9-16
경원치킨 낙성대,치킨,4.2,8,37.476078,126.963786,서울 관악구 봉천로 600-1
롸카두들 내쉬빌 핫치킨 압구정,치킨,4.3,24,37.5255995,127.0364531,서울 강남구 언주로164길 35-3
명인시골통닭 사당본점,치킨,4.6,11,37.4784615,126.981175,
한추 압구정,치킨,3.9,56,37.5240032,127.0233572,서울 강남구 논현로175길 68
삼덕통닭 신도림점,치킨,4.7,12,37.5104351,126.8897276,서울 구로구 경인로67길 23
아웃닭 홍대점,치킨,4.3,14,37.5500827,126.921927,서울 마포구 와우산로17길 19
롸카두들 내쉬빌 핫치킨 이태원점,치킨,4.3,21,37.5348942,126.9881376,
두레통닭 길음뉴타운점,치킨,4.7,3,37.6054555,127.0220362,서울 성북구 길음로 33
영양센타 본점,치킨,4.4,20,37.5611197,126.9831647,서울 중구 명동2길 52
한신치킨 반포,치킨,4.3,24,37.5087999,127.003588,서울 서초구 신반포로23길 30
아웃닭 신촌,치킨,4.4,16,37.5574086,126.9377773,서울 서대문구 이화여대5길 16
가마치통닭 서울 북한산점,치킨,5.0,5,37.6166387,127.0033273,서울 성북구 보국문로 167
보니스피자펍 해방촌,피자,4.3,99,37.5411986,126.9869245,서울 용산구 신흥로3길 2
핏제리아오 본점,피자,4.1,102,37.5820958,127.0043262,
클랩피자 압구정,피자,4.5,42,37.5240873,127.0365596,서울 강남구 압구정로46길 71
스파카 나폴리 합정,피자,4.2,37,37.5489146,126.9156019,서울 마포구 양화로6길 28
부자피자 1호점,피자,4.2,54,37.5372741,126.9998023,서울 용산구 이태원로55가길 28
다로베 성수,피자,4.4,22,37.5485233,127.0433963,서울 성동구 왕십리로11길 7
플롭 안국 안국역,피자,4.5,32,37.5779283,126.9860684,서울 종로구 북촌로2길 5
매덕스피자 신사점,피자,4.4,17,37.5190388,127.0238521,서울 강남구 도산대로15길 11
파이프그라운드 한남동,피자,4.4,79,37.5395819,127.0029779,서울 용산구 한남대로27길 66
웨스트빌 피자 합정,피자,4.5,19,37.5509062,126.9073147,서울 마포구 포은로 37-1
마리오네 성수,피자,4.7,27,37.5488963,127.0542761,서울 성동구 광나루로2길 23-1
스폰티니 강남역,피자,4.3,40,37.501945,127.0260519,서울 강남구 강남대로 442
잭슨피자 압구정점,피자,4.5,20,37.5250886,127.0246771,서울 강남구 압구정로 144
더 키친 바이 잇투고 영등포,피자,5.0,4,37.527811,126.904675,서울 금천구 두산로 71
페이퍼 플레이트 성수,피자,4.6,22,37.5417281,127.0566909,서울 성동구 성수이로14길 15
모터시티바이매니멀 이태원,피자,4.0,46,37.5340246,126.9894628,
작은피자집 사당역,피자,4.5,18,37.477259,126.9796672,서울 동작구 동작대로1길 31
보니스피자펍 석촌호수점,피자,4.6,10,37.5060904,127.0989054,서울 송파구 송파대로49길 52
뉴오더클럽 연남동,피자,4.4,29,37.5610437,126.9245375,서울 마포구 동교로34길 3
폴리스 광화문D타워점,피자,4.1,31,37.5713656,126.9789824,서울 종로구 종로3길 17
르프리크 성수,버거,4.4,69,37.5444391,127.0526591,서울 성동구 연무장5길 9-16
브루클린더버거조인트 가로수길점,버거,4.4,81,37.5191126,127.0240337,서울 강남구 도산대로15길 12
브루클린 더 버거 조인트 여의도점,버거,4.3,37,37.5241759,126.9248296,서울 영등포구 국제금융로2길 24
바스버거 여의도,버거,4.2,37,37.5248901,126.927309,서울 영등포구 국제금융로 20
브루클린 더버거 조인트 삼성점,버거,4.3,39,37.5126401,127.0556086,서울 강남구 봉은사로84길 10
더백푸드트럭 해방촌,버거,4.3,46,37.5475325,126.984057,서울 용산구 신흥로20길 45-1
제스티살룬 연남,버거,4.4,41,37.5616611,126.9267907,서울 마포구 연희로 31
위트앤미트 강남점,버거,4.3,37,37.5037803,127.0274523,서울 강남구 강남대로110길 32
버거드조선 서촌,버거,4.4,27,37.5755982,126.9704616,서울 종로구 사직로10길 7
Bored & Hungry 성수,버거,4.7,31,37.5415794,127.0604134,서울 성동구 성수이로18길 32
롸카두들 내쉬빌 핫치킨 압구정,버거,4.3,24,37.5255995,127.0364531,서울 강남구 언주로164길 35-3
